# Wed Feb 21 15:18:33 2024
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 0 
200 1 0 1 0 0 
300 1 0 1 0 0 
400 1 0 1 0 0 
500 1 0 1 0 0 
600 2 0.209312 2 0 0.0330189 
700 2 0.0590509 2 0 0.00684346 
800 2 0.0570136 2 0 0.00656096 
900 2 0.0704401 2 0 0.00846561 
1000 2 0.204088 2 0 0.0319519 
1100 2 0.299572 3 0 0.0531359 
1200 2 0.456332 2 0 0.0960452 
1300 2 0.781858 3 0 0.232218 
1400 3 0.984191 4 0 0.408072 
1500 3 0.937433 6 0 0.659341 
1600 4 0.858567 8 0 0.727221 
1700 3 0.768759 10 0 0.787659 
1800 4 0.803207 7 0.000304414 0.771689 
1900 5 0.85079 14 0.000637959 0.737161 
2000 5 0.92396 8 0.000978793 0.68646 
2100 5 1.00977 7 0.000325733 0.589577 
2200 5 1.02846 8 0.000319081 0.452776 
2300 3 0.93885 7 0 0.332923 
2400 3 0.721004 6 0 0.181604 
2500 3 0.64809 3 0 0.139622 
2600 3 0.550084 6 0 0.0972301 
2700 3 0.560402 4 0 0.0994676 
2800 5 0.634043 7 0 0.129339 
2900 3 0.738792 6 0 0.174741 
3000 5 0.878761 6 0 0.239732 
3100 6 0.961999 11 2.22164e-05 0.270822 
3200 5 0.932203 8 0 0.243834 
3300 3 0.951573 5 0 0.221661 
3400 4 0.99251 7 0.00224719 0.221067 
3500 4 1.03938 6 0.0109581 0.240517 
